Startdatum,Starttid,Slutdatum,Sluttid,Subject,Description,Location,Private
2024-08-20,10:00,2024-08-20,12:00,Upprop ⓘ (C1),"Information till student: Upprop, välkomnande av nämnden<br/>Lokal: C1<br/>Studentgrupp: D1,IT1,U1<br/>Fria grupper: <br/>Lärare: ",,True
2024-08-20,10:30,2024-08-20,12:00,Klassföreståndarpass (S15),Information till student: Klassföreståndarpass<br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Anastasia Saprunova Akol,,True
2024-08-20,12:00,2024-08-20,17:00,Mottagningsaktivitet (Ingen lokal),Information till student: Mottagningsaktivitet<br/>Lokal: Ingen lokal<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-21,08:15,2024-08-21,11:00,TATA65 Diagnostiskt prov (S15),Information till student: Diagnostiskt prov<br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Elias Johansson,,True
2024-08-21,11:15,2024-08-21,12:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-21,13:15,2024-08-21,15:00,TDDE23 Föreläsning ⓘ (A1),"Information till student: Föreläsning 1<br/>Lokal: A1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Peter Dalenius",,True
2024-08-21,15:15,2024-08-21,17:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-22,08:15,2024-08-22,10:00,TATA65 Mentorsmöte (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: Elias Johansson,,True
2024-08-22,08:15,2024-08-22,10:00,TATA65 Mentorsmöte (S35),Information till student: <br/>Lokal: S35<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2<br/>Lärare: Shayan Kharaghani,,True
2024-08-22,10:15,2024-08-22,12:00,"9AMA57,TATA65 Föreläsning (A1)","Information till student: <br/>Lokal: A1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Carl Johan Casselgren",,True
2024-08-22,13:15,2024-08-22,14:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-22,14:00,2024-08-22,14:30,LiU-kort,Information till student: LiU-kort<br/>Lokal: <br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-22,14:30,2024-08-22,15:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-22,15:15,2024-08-22,17:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-23,08:15,2024-08-23,10:00,Klassföreståndartid (S15),Information till student: Klassföreståndartid<br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Anastasia Saprunova Akol,,True
2024-08-23,10:15,2024-08-23,12:00,"TDDE23 Laboration ⓘ (SU00,SU01,SU02,SU03,SU04,SU10,SU11,SU12,SU13,SU14,SU15/16,SU17/18,SU24,SU25)","Information till student: Laboration 1<br/>Lokal: SU00,SU01,SU02,SU03,SU04,SU10,SU11,SU12,SU13,SU14,SU15/16,SU17/18,SU24,SU25<br/>Studentgrupp: D1.a,D1.b,D1.c,U1.a,U1.b<br/>Fria grupper: <br/>Lärare: ",,True
2024-08-23,13:15,2024-08-23,15:00,TATA65 Lektion (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Erik Darpö,,True
2024-08-23,15:15,2024-08-23,17:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-26,08:15,2024-08-26,10:00,"TDDE23 Laboration ⓘ (SU00,SU01,SU02,SU03,SU04,SU10,SU11,SU12,SU13,SU14,SU15/16,SU17/18,SU24)","Information till student: Laboration 2<br/>Lokal: SU00,SU01,SU02,SU03,SU04,SU10,SU11,SU12,SU13,SU14,SU15/16,SU17/18,SU24<br/>Studentgrupp: D1.a,D1.b,D1.c,U1.a,U1.b<br/>Fria grupper: <br/>Lärare: ",,True
2024-08-26,10:15,2024-08-26,12:00,"9AMA57,TATA65 Föreläsning (A1)","Information till student: <br/>Lokal: A1<br/>Studentgrupp: D1,U1<br/>Fria grupper: <br/>Lärare: Carl Johan Casselgren",,True
2024-08-26,13:15,2024-08-26,15:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-26,15:15,2024-08-26,17:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-27,08:15,2024-08-27,10:00,Eget arbete (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: ,,True
2024-08-27,10:15,2024-08-27,12:00,TATA65 Lektion (S15),Information till student: <br/>Lokal: S15<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Erik Darpö,,True
